Sulzbach-Rosenberg;06:00-22:00
Timmendorferstrand;06:20-21:45
Trebgast;06:00-22:00
Traunstein;06:00-22:00
Treuchtlingen;06:00-20:30
Unna;Mo-Fr 00:00-13:00, 14:30-24:00; Sa-Su 00:00-24:00
Velgast;06:35-21:25
Waren (Müritz);07:40-11:00, 14:45-20:00
Warnemünde;07:30-20:45
Wasserburg am Inn;06:00-22:00
Weiden;06:00-22:00
Wernigerode;07:00-21:00
Wittlich Hbf;07:00-21:00
Züssow;07:00-21:00
